Date,Pure Gold (24 k),Standard Gold (22 K)
2019-04-02,3161.0,3014.0
2019-04-03,3149.0,3002.0
2019-04-04,3167.0,3020.0
2019-04-05,3175.0,3028.0
2019-04-06,3180.0,3033.0
2019-04-07,3180.0,3033.0
2019-04-08,3200.0,3053.0
2019-04-09,3203.0,3056.0
2019-04-10,3199.0,3052.0
2019-04-11,3190.0,3043.0
2019-04-12,3176.0,3029.0
2019-04-13,3179.0,3031.0
2019-04-14,3179.0,3031.0
2019-04-15,3164.0,3016.0
2019-04-16,3179.0,3031.0
2019-04-17,3168.0,3017.0
2019-04-18,3168.0,3017.0
2019-04-19,3163.0,3012.0
2019-04-20,3166.0,3015.0
2019-04-21,3166.0,3015.0
2019-04-22,3172.0,3021.0
2019-04-23,3168.0,3017.0
2019-04-24,3171.0,3020.0
2019-04-25,3193.0,3042.0
2019-04-26,3195.0,3044.0
2019-04-27,3206.0,3055.0
2019-04-28,3206.0,3055.0
2019-04-29,3199.0,3048.0
2019-04-30,3192.0,3041.0
2019-05-01,3189.0,3038.0
2019-05-02,3153.0,3002.0
2019-05-03,3143.0,2992.0
2019-05-04,3163.0,3012.0
2019-05-05,3163.0,3012.0
2019-05-06,3168.0,3017.0
2019-05-07,3173.0,3022.0
2019-05-08,3181.0,3030.0
2019-05-09,3191.0,3040.0
2019-05-10,3189.0,3038.0
2019-05-11,3203.0,3052.0
2019-05-12,3203.0,3052.0
2019-05-13,3205.0,3054.0
2019-05-14,3236.0,3085.0
2019-05-15,3230.0,3083.0
2019-05-16,3217.0,3070.0
2019-05-17,3205.0,3058.0
2019-05-18,3197.0,3050.0
2019-05-19,3197.0,3050.0
2019-05-20,3163.0,3016.0
2019-05-21,3167.0,3020.0
2019-05-22,3162.0,3015.0
2019-05-23,3176.0,3026.0
2019-05-24,3180.0,3030.0
2019-05-25,3181.0,3031.0
2019-05-26,3181.0,3031.0
2019-05-27,3187.0,3037.0
2019-05-28,3185.0,3035.0
2019-05-29,3197.0,3047.0
2019-05-30,3181.0,3031.0
2019-05-31,3212.0,3062.0
2019-06-01,3229.0,3079.0
2019-06-02,3229.0,3079.0
2019-06-03,3226.0,3076.0
2019-06-04,3250.0,3097.0
2019-06-05,3271.0,3116.0
2019-06-06,3278.0,3122.0
2019-06-07,3279.0,3123.0
2019-06-08,3298.0,3142.0
2019-06-09,3298.0,3142.0
2019-06-10,3267.0,3111.0
2019-06-11,3253.0,3097.0
2019-06-12,3275.0,3119.0
2019-06-13,3278.0,3122.0
2019-06-14,3317.0,3161.0
2019-06-15,3304.0,3148.0
2019-06-16,3304.0,3148.0
2019-06-17,3288.0,3132.0
2019-06-18,3301.0,3145.0
2019-06-19,3303.0,3147.0
2019-06-20,3369.0,3213.0
2019-06-21,3393.0,3237.0
2019-06-22,3415.0,3259.0
2019-06-23,3415.0,3259.0
2019-06-24,3421.0,3265.0
2019-06-25,3461.0,3303.0
2019-06-26,3405.0,3247.0
2019-06-27,3397.0,3239.0
2019-06-28,3412.0,3254.0
2019-06-29,3410.0,3252.0
2019-06-30,3410.0,3252.0
2019-07-01,3374.0,3216.0
2019-07-02,3374.0,3216.0
2019-07-03,3433.0,3274.0
2019-07-04,3412.0,3255.0
2019-07-05,3476.0,3319.0
2019-07-06,3438.0,3281.0
2019-07-07,3438.0,3281.0
2019-07-08,3460.0,3303.0
2019-07-09,3421.0,3264.0
2019-07-10,3427.0,3270.0
2019-07-11,3487.0,3330.0
2019-07-12,3453.0,3296.0
2019-07-13,3473.0,3316.0
2019-07-14,3473.0,3316.0
2019-07-15,3469.0,3312.0
2019-07-16,3469.0,3312.0
2019-07-17,3451.0,3294.0
2019-07-18,3489.0,3332.0
2019-07-19,3520.0,3363.0
2019-07-20,3502.0,3345.0
2019-07-21,3502.0,3345.0
2019-07-22,3505.0,3348.0
2019-07-23,3489.0,3332.0
2019-07-24,3497.0,3340.0
2019-07-25,3502.0,3345.0
2019-07-26,3487.0,3330.0
2019-07-27,3488.0,3331.0
2019-07-28,3488.0,3331.0
2019-07-29,3481.0,3324.0
2019-07-30,3490.0,3333.0
2019-07-31,3493.0,3336.0
2019-08-01,3467.0,3310.0
2019-08-02,3540.0,3383.0
2019-08-03,3573.0,3416.0
2019-08-04,3573.0,3416.0
2019-08-05,3617.0,3460.0
2019-08-06,3630.0,3473.0
2019-08-07,3704.0,3547.0
2019-08-08,3715.0,3558.0
2019-08-09,3726.0,3569.0
2019-08-10,3739.0,3582.0
2019-08-11,3739.0,3582.0
2019-08-12,3760.0,3603.0
2019-08-13,3784.0,3627.0
2019-08-14,3735.0,3578.0
2019-08-15,3775.0,3618.0
2019-08-16,3740.0,3583.0
2019-08-17,3764.0,3607.0
2019-08-18,3764.0,3607.0
2019-08-19,3741.0,3584.0
2019-08-20,3761.0,3604.0
2019-08-21,3751.0,3594.0
2019-08-22,3765.0,3608.0
2019-08-23,3757.0,3600.0
2019-08-24,3837.0,3680.0
2019-08-25,3837.0,3680.0
2019-08-26,3842.0,3685.0
2019-08-27,3837.0,3680.0
2019-08-28,3870.0,3713.0
2019-08-29,3869.0,3712.0
2019-08-30,3839.0,3682.0
2019-08-31,3848.0,3691.0
2019-09-01,3848.0,3691.0
2019-09-02,3859.0,3702.0
2019-09-03,3886.0,3729.0
2019-09-04,3898.0,3741.0
2019-09-05,3898.0,3741.0
2019-09-06,3815.0,3658.0
2019-09-07,3828.0,3671.0
2019-09-08,3828.0,3671.0
2019-09-09,3816.0,3659.0
2019-09-10,3806.0,3649.0
2019-09-11,3791.0,3634.0
2019-09-12,3771.0,3614.0
2019-09-13,3769.0,3612.0
2019-09-14,3741.0,3584.0
2019-09-15,3741.0,3584.0
2019-09-16,3777.0,3620.0
2019-09-17,3772.0,3615.0
2019-09-18,3757.0,3600.0
2019-09-19,3737.0,3580.0
2019-09-20,3743.0,3586.0
2019-09-21,3770.0,3613.0
2019-09-22,3770.0,3613.0
2019-09-23,3769.0,3612.0
2019-09-24,3771.0,3614.0
2019-09-25,3799.0,3642.0
2019-09-26,3753.0,3596.0
2019-09-27,3756.0,3599.0
2019-09-28,3775.0,3618.0
2019-09-29,3775.0,3618.0
2019-09-30,3745.0,3588.0
2019-10-01,3713.0,3556.0
2019-10-02,3763.0,3606.0
2019-10-03,3787.0,3630.0
2019-10-04,3801.0,3644.0
2019-10-05,3805.0,3648.0
